annais,sexe,preusuel,rank
1938,1,RENÉ,8.0
1938,1,ROGER,9.0
1938,1,GÉRARD,10.0
1938,2,MARIE,1.0
1938,2,MONIQUE,2.0
1938,2,JACQUELINE,3.0
1938,2,NICOLE,4.0
1938,2,JEANNINE,5.0
1938,2,CHRISTIANE,6.0
1938,2,YVETTE,7.0
1938,2,DENISE,8.0
1938,2,FRANÇOISE,9.0
1938,2,JOSETTE,10.0
1939,1,JEAN,1.0
1939,1,MICHEL,2.0
1939,1,CLAUDE,3.0
1939,1,PIERRE,4.0
1939,1,ANDRÉ,5.0
1939,1,JACQUES,6.0
1939,1,BERNARD,7.0
1939,1,GÉRARD,8.0
1939,1,RENÉ,9.0
1939,1,ROBERT,10.0
1939,2,MARIE,1.0
1939,2,MONIQUE,2.0
1939,2,JACQUELINE,3.0
1939,2,NICOLE,4.0
1939,2,JEANNINE,5.0
1939,2,CHRISTIANE,6.0
1939,2,FRANÇOISE,7.0
1939,2,COLETTE,8.0
1939,2,YVETTE,9.0
1939,2,JOSETTE,10.0
1940,1,JEAN,1.0
1940,1,MICHEL,2.0
1940,1,CLAUDE,3.0
1940,1,ANDRÉ,4.0
1940,1,PIERRE,5.0
1940,1,JACQUES,6.0
1940,1,BERNARD,7.0
1940,1,GÉRARD,8.0
1940,1,DANIEL,9.0
1940,1,RENÉ,10.0
1940,2,MARIE,1.0
1940,2,MONIQUE,2.0
1940,2,NICOLE,3.0
1940,2,JACQUELINE,4.0
1940,2,FRANÇOISE,5.0
1940,2,CHRISTIANE,6.0
1940,2,JEANNINE,7.0
1940,2,COLETTE,8.0
1940,2,JOSETTE,9.0
1940,2,YVETTE,10.0
1941,1,JEAN,1.0
1941,1,MICHEL,2.0
1941,1,CLAUDE,3.0
1941,1,ANDRÉ,4.0
1941,1,JACQUES,5.0
1941,1,PIERRE,6.0
1941,1,BERNARD,7.0
1941,1,DANIEL,8.0
1941,1,GÉRARD,9.0
1941,1,ROBERT,10.0
1941,2,MARIE,1.0
1941,2,MONIQUE,2.0
1941,2,NICOLE,3.0
1941,2,JACQUELINE,4.0
1941,2,FRANÇOISE,5.0
1941,2,CHRISTIANE,6.0
1941,2,JEANNINE,7.0
1941,2,DANIELLE,8.0
1941,2,COLETTE,9.0
1941,2,MICHÈLE,10.0
1942,1,JEAN,1.0
1942,1,MICHEL,2.0
1942,1,BERNARD,3.0
1942,1,CLAUDE,4.0
1942,1,JACQUES,5.0
1942,1,ANDRÉ,6.0
1942,1,PIERRE,7.0
1942,1,DANIEL,8.0
1942,1,GÉRARD,9.0
1942,1,ALAIN,10.0
1942,2,MARIE,1.0
1942,2,MONIQUE,2.0
1942,2,NICOLE,3.0
1942,2,JACQUELINE,4.0
1942,2,FRANÇOISE,5.0
1942,2,CHRISTIANE,6.0
1942,2,DANIELLE,7.0
1942,2,MICHÈLE,8.0
1942,2,COLETTE,9.0
1942,2,JOSETTE,10.0
1943,1,JEAN,1.0
1943,1,MICHEL,2.0
1943,1,BERNARD,3.0
1943,1,DANIEL,4.0
1943,1,GÉRARD,5.0
1943,1,JACQUES,6.0
1943,1,ANDRÉ,7.0
1943,1,CLAUDE,8.0
1943,1,PIERRE,9.0
1943,1,ALAIN,10.0
1943,2,MARIE,1.0
1943,2,MONIQUE,2.0
1943,2,NICOLE,3.0
1943,2,FRANÇOISE,4.0
1943,2,JACQUELINE,5.0
1943,2,CHRISTIANE,6.0
1943,2,DANIELLE,7.0
1943,2,MICHÈLE,8.0
